mac,hour_of_day,day_of_week,times_seen,lat,lon
34:5D:9E:25:46:40,9,4,1,,
2A:17:59:E6:84:EA,9,4,1,,
D6:76:DA:D3:20:85,9,4,1,,
C0:06:C3:F2:B4:6F,9,4,1,,
F6:D3:FB:CC:3E:3B,9,4,1,,
7E:69:55:21:24:8D,9,4,1,,
CE:AC:28:9B:6B:E5,9,4,1,,
98:42:65:B7:F8:2C,9,4,3,,
22:22:92:42:C1:BB,9,4,1,,
DA:8F:10:8A:44:5E,9,4,1,,
DC:9F:DB:1C:25:3A,9,4,1,115.850767,-31.973525
82:9F:B2:C3:0D:2C,9,4,1,,
8E:FA:13:60:F3:FC,9,4,1,,
A6:A0:28:A2:1E:06,9,4,1,,
EE:71:0E:4D:4E:C5,9,4,1,,
F6:FB:78:40:47:C9,9,4,2,,
BC:30:D9:EF:34:7A,9,4,1,115.85056,-31.972762
BC:30:D9:EF:34:7A,9,4,1,115.8504,-31.972698
BC:30:D9:EF:34:7A,9,4,1,115.850587,-31.972602
BC:30:D9:EF:34:7A,9,4,1,115.850813,-31.972452
82:DD:0C:0B:F9:93,9,4,1,,
32:4F:83:44:82:58,9,4,1,,
1E:BF:99:C5:6C:BB,9,4,1,,
9E:AF:BC:06:CA:62,9,4,1,,
86:ED:0A:EE:19:AF,9,4,1,,
96:22:AD:BC:75:C1,9,4,1,,
C8:FF:77:B3:D0:9D,9,4,1,,
D0:DB:B7:63:94:C5,9,4,2,,
A0:B5:3C:3D:7E:4A,9,4,1,,
AE:95:8E:78:32:30,9,4,1,,
BE:3D:B0:1F:E1:5C,9,4,1,,
66:DF:F3:C6:DD:15,9,4,1,,
6E:6B:88:05:21:7A,9,4,1,,
56:51:8F:DF:8C:90,9,4,1,,
4C:34:88:0B:AD:6A,9,4,3,,
5E:1A:A7:A0:17:A1,9,4,1,,
56:E4:5E:F1:8F:C8,9,4,1,,
B2:D0:70:E7:07:33,9,4,1,,
E2:2B:03:C8:E2:96,9,4,1,,
62:D9:48:32:CB:D4,9,4,1,,
06:72:0B:6D:34:20,9,4,1,,
40:AC:BF:26:4A:26,9,4,1,,
5E:DD:72:4C:32:FB,9,4,1,,
66:C9:B3:6D:B8:6D,9,4,1,,
72:04:83:31:1D:A2,9,4,1,,
3A:07:7E:28:43:11,9,4,1,,
00:00:00:00:97:56,9,4,1,,
BA:80:58:40:C6:69,9,4,1,,
E4:F0:04:B8:32:50,9,4,1,,
D6:25:35:66:47:07,9,4,1,,
D4:5D:64:D3:DE:86,9,4,1,,
46:A9:82:12:0B:FA,9,4,1,,
3A:35:74:2A:A7:97,9,4,1,,
E4:7D:BD:B1:76:22,9,4,3,,
B2:35:6E:79:B5:94,9,4,1,,
B6:96:91:1C:DC:7E,9,4,1,,
36:E7:5B:E4:F2:F6,9,4,1,,
42:5F:0B:54:66:C5,9,4,1,,
B2:7F:7A:31:F0:1C,9,4,1,,
F6:BF:60:CC:68:F2,9,4,1,,
A4:91:B1:4E:15:F0,9,4,1,,
76:7A:4C:FF:9D:ED,9,4,1,,
B2:23:D3:DE:AA:46,9,4,1,,
74:EE:2A:B8:A0:A9,9,4,2,,
4A:22:1E:20:87:70,9,4,1,,
8A:EA:AF:E9:6E:AD,9,4,1,,
00:50:56:86:DD:AF,9,4,2,,
9A:FE:82:B9:0E:50,9,4,1,,
78:DD:12:8C:22:A0,9,4,1,,
A6:39:14:77:60:7D,9,4,1,,
9E:6D:0D:EF:86:C4,9,4,1,,
3E:B8:D8:15:32:3D,9,4,1,115.850915,-31.973617
18:60:24:D9:5D:44,9,4,1,,
74:EE:2A:B8:67:B7,9,4,1,,
F2:3F:82:28:9C:B3,9,4,1,,
4C:87:5D:F7:C3:D9,9,4,3,115.852443,-31.972885
3A:45:EB:61:65:DD,9,4,1,,
52:86:A0:99:D0:31,9,4,1,115.850758,-31.973493
4A:7B:77:3E:6A:E7,9,4,1,,
3A:7A:8C:D1:E8:49,9,4,1,115.850758,-31.973493
56:C3:14:56:A4:9F,9,4,1,,
00:11:32:E5:2D:2F,9,4,2,,
6E:C3:10:77:56:02,9,4,1,,
BC:30:D9:EF:34:78,9,4,1,,
18:B1:69:0F:70:CA,9,4,1,,
74:EE:2A:B8:89:2D,9,4,1,115.850785,-31.973465
00:06:C6:5E:77:F9,9,4,1,115.850775,-31.97318
5E:CE:DB:06:7D:F5,9,4,1,115.850745,-31.973335
0A:55:B7:34:7B:11,9,4,1,115.850745,-31.973335
E2:C4:EF:4E:CF:2B,9,4,1,,
46:5E:E7:F0:ED:13,9,4,1,115.850745,-31.973335
7C:5A:1C:A3:AF:B0,9,4,2,,
56:F5:69:D6:11:C2,9,4,1,115.850745,-31.973335
70:A7:41:A8:36:F7,9,4,1,,
56:7C:53:B6:E9:AA,9,4,1,,
02:2D:2B:8C:55:FE,9,4,1,115.850775,-31.97318
DA:F3:66:B9:6A:42,9,4,1,,
00:08:9B:DA:73:E4,9,4,1,,
28:18:78:FF:0F:AF,9,4,1,,
00:15:5D:01:54:05,9,4,3,,
8E:E9:82:8C:B2:96,9,4,1,115.850762,-31.973158
8A:98:DD:DE:FC:2E,9,4,1,,
7A:2F:30:A5:4B:BA,9,4,1,115.850737,-31.97312
8C:C8:4B:72:7D:D7,9,4,1,,
60:3D:26:1D:5A:13,9,4,1,,
40:49:0F:5D:0B:38,9,4,1,115.850737,-31.97312
FE:2D:CD:9F:5A:AE,9,4,1,115.850718,-31.973047
F8:CA:59:CC:BC:4C,9,4,1,,
AC:D1:B8:55:15:3C,9,4,1,,
22:93:FD:C3:E8:60,9,4,1,,
BE:75:9D:64:46:1C,9,4,1,,
F6:77:67:AD:3A:05,9,4,1,,
D0:37:45:85:D3:02,9,4,1,,
A0:D0:5B:24:9A:3C,9,4,1,,
E4:7D:BD:9C:BC:2A,9,4,4,,
D4:A6:51:D0:D5:E9,9,4,5,,
46:08:27:97:ED:55,9,4,1,,
D6:35:1D:D8:71:56,9,4,2,115.850657,-31.972905
D6:35:1D:D8:71:56,9,4,2,115.850602,-31.972602
56:E6:DC:E3:9D:98,9,4,1,,
5A:DC:3F:3E:9C:70,9,4,1,,
60:22:32:F0:B6:3D,9,4,2,,
CE:9E:43:CC:42:1D,9,4,1,115.850628,-31.972885
D8:1F:12:1F:76:53,9,4,1,,
F8:B7:97:E9:62:68,9,4,3,,
FA:C4:EC:12:8B:41,9,4,4,,
9E:84:3E:65:82:E9,9,4,1,115.850613,-31.972877
8A:02:3A:BE:5F:D4,9,4,1,115.850583,-31.972858
92:00:94:16:3F:4F,9,4,1,115.850575,-31.972845
AA:D6:FF:EA:69:E0,9,4,1,115.850575,-31.972845
92:03:4C:12:42:36,9,4,1,115.850575,-31.972845
96:AC:B4:69:F5:6A,9,4,1,115.850577,-31.972828
54:E1:40:F4:4C:3E,9,4,4,115.850467,-31.97269
54:E1:40:F4:4C:3E,9,4,4,115.8504,-31.9727
54:E1:40:F4:4C:3E,9,4,4,115.8503,-31.972762
54:E1:40:F4:4C:3E,9,4,4,115.85059,-31.97256
18:C0:4D:12:ED:2E,9,4,4,,
A0:59:50:15:BB:A2,9,4,1,,
56:36:B5:67:A5:03,9,4,1,,
EA:E2:CE:BF:DF:11,9,4,1,115.850577,-31.972828
DA:60:CD:64:32:50,9,4,1,115.850577,-31.972828
F2:0A:D2:3C:4E:0A,9,4,1,115.850577,-31.972828
42:27:9E:5C:13:82,9,4,1,115.850578,-31.972807
E6:86:F4:98:BC:BD,9,4,1,115.850578,-31.972807
08:66:98:91:0D:82,9,4,1,,
02:4B:A3:65:73:F1,9,4,1,,
7A:CA:91:26:C2:A1,9,4,1,115.850568,-31.972775
FA:38:D1:56:86:A3,9,4,1,115.850568,-31.972775
1E:71:7B:29:6D:80,9,4,1,115.850568,-31.972775
72:F9:48:C2:94:F1,9,4,1,115.85056,-31.972762
F6:FE:11:50:B3:CA,9,4,1,115.85056,-31.972762
50:13:95:6D:47:19,9,4,3,,
72:F9:C4:C5:DC:89,9,4,1,115.85056,-31.972762
CE:4F:4B:95:90:0E,9,4,1,115.850555,-31.972745
32:47:2B:AF:56:4E,9,4,1,115.850467,-31.97269
D2:C2:A5:1D:D0:C3,9,4,1,115.8505,-31.972705
